PLAYER,TEAM,POSITIONS,ZSCORE,PRICE
Norman Powell,Tor,"SG,SF",1.4145610640227877,1
Mirza Teletovic,Mil,"SF,PF",1.4092078309997922,1
Alexis Ajinca,NO,"PF,C",1.3935670890550007,1
Jordan Mickey,Bos,PF,1.3840800556247492,1
Chris McCullough,Was,PF,1.3768129220623215,1
Jodie Meeks,Orl,SG,1.32951682287332,1
Manu Ginobili,SA,"SG,SF",1.3262797873303944,1
Allen Crabbe,Por,"PG,SG",1.3169998822795879,2
David Lee,SA,"PF,C",1.2596075266408449,1
Cliff Alexander,Orl,PF,1.2360294833268617,1
Cody Zeller,Cha,"PF,C",1.2218275100983598,1
Michael Beasley,Mil,"SF,PF",1.2155359314207128,1
C.J. Wilcox,Orl,SG,1.1863879078782458,1
Festus Ezeli,Por,C,1.1713627411051926,1
Channing Frye,Cle,"PF,C",1.1488664402408046,1
Kenneth Faried,Den,"PF,C",1.1360045690561544,3
Jeremy Evans,Ind,"SF,PF",1.1276967638133977,1
Avery Bradley,Bos,"PG,SG",1.1253420124945188,3
Terrence Ross,Orl,"SG,SF",1.089100378444795,1
Rodney Hood,Uta,"SG,SF",1.0686621926715314,3
Anthony Morrow,Chi,"SG,SF",1.032457449502641,1
Willie Reed,Mia,"PF,C",1.0274546488551184,1
Justin Anderson,Phi,SF,1.019552425115425,1
Brandon Bass,LAC,"PF,C",1.0167211794745492,1
Mike Scott,Pho,PF,1.0109998694985751,1
T.J. Warren,Pho,SF,1.0041262071852561,2
Jordan Adams,Mem,SG,0.9973224684313218,1
DeMar DeRozan,Tor,"SG,SF",0.994754750410458,5
T.J. McConnell,Phi,PG,0.9770914442091646,1
Bradley Beal,Was,SG,0.976871732976407,4
Rakeem Christmas,Ind,PF,0.9611414799002512,1
Thaddeus Young,Ind,"SF,PF",0.9609846233038364,4
Troy Daniels,Mem,"PG,SG",0.9500487440001086,1
Kyle Anderson,SA,"SG,SF",0.8805936984945886,1
Tyreke Evans,Sac,"PG,SG,SF",0.8639941178113709,2
Chris Andersen,Cha,"PF,C",0.8478487088358363,1
Kent Bazemore,Atl,"SG,SF",0.8456618041605198,3
Andrew Goudelock,Hou,"PG,SG",0.8263750277480503,1
Sean Kilpatrick,Bkn,"PG,SG",0.8254937247579268,1
Nicolas Batum,Cha,"SG,SF",0.8244534566917037,5
Chandler Parsons,Mem,"SF,PF",0.8007138253944729,4
DeMarre Carroll,Tor,"SF,PF",0.7989789703406022,3
Tyler Zeller,Bos,"PF,C",0.7897628450903796,1
David West,GS,PF,0.7789767806281549,1
Joffrey Lauvergne,Chi,"PF,C",0.7543102350346771,1
Robin Lopez,Chi,C,0.7519259830010254,3
Tiago Splitter,Phi,C,0.7500668531604646,1
Evan Fournier,Orl,"SG,SF",0.7294489275460792,4
Darrell Arthur,Den,"PF,C",0.7186117701722683,1
Tyson Chandler,Pho,C,0.7116024851698695,1
Dwight Howard,Atl,"PF,C",0.70298269088376,2
Jordan Farmar,Sac,PG,0.7009186200702608,1
Jon Leuer,Det,"PF,C",0.6973694822217652,1
George Hill,Uta,"PG,SG",0.6852232826798096,3
Kyle Korver,Cle,"SG,SF",0.6842936711018041,2
Dennis Schroder,Atl,PG,0.6837528898645416,3
Patrick Beverley,Hou,"PG,SG",0.6658552941067671,3
Jordan Clarkson,LAL,"PG,SG",0.6420662350705755,3
Brandon Jennings,NY,PG,0.6347001558211101,1
Bismack Biyombo,Orl,"PF,C",0.6180647047490266,2
R.J. Hunter,Chi,SG,0.6100719377627288,1
Larry Nance Jr.,LAL,PF,0.5711397562049491,2
Al-Farouq Aminu,Por,"SF,PF",0.5653218669559682,2
Wesley Matthews,Dal,"SG,SF",0.5619899527357097,3
Ian Clark,GS,"PG,SG",0.5571246328103721,1
Jarnell Stokes,Den,PF,0.5369022197350375,1
Leandro Barbosa,Pho,"PG,SG",0.5330551795169396,1
Monta Ellis,Ind,"PG,SG",0.5148262709183449,3
Jamal Crawford,LAC,"SG,SF",0.5114931975755976,1
Marcus Smart,Bos,PG,0.4975468049856325,3
Gary Harris,Den,"SG,SF",0.4831793301408216,3
Mario Chalmers,Mem,"PG,SG",0.4686894046511075,1
Mason Plumlee,Den,"PF,C",0.4475128194971123,2
Delon Wright,Tor,"PG,SG",0.4382901714698526,1
